step,spread,regime
0,310.7255594914559,2
1,316.38175945852424,2
2,309.36170996696563,2
3,307.9516077551452,2
4,303.53019371927525,2
5,308.3289913932849,2
6,315.05616055013036,2
7,310.54107721543744,2
8,305.5023325999227,2
9,305.6237230137685,2
10,302.19070839216306,2
11,301.7502987509583,2
12,300.2007356054225,2
13,302.7048624587511,2
14,305.55653721895317,2
15,303.66996454779974,2
16,299.50494521396826,2
17,306.31449842344495,2
18,301.97913417271934,2
19,306.07439586762905,2
20,309.53092265592323,2
21,311.20768498271184,2
22,312.79477522252154,2
23,314.39643402036336,2
24,315.106324398762,2
25,318.98481794648194,2
26,317.4761947128887,2
27,314.18242377395575,2
28,322.9320600493232,2
29,328.6438467861269,2
30,326.97004025318427,2
31,330.4970948005027,2
32,335.1615101489398,2
33,332.7162423991577,2
34,331.8174676827517,2
35,325.62145073222115,2
36,328.6580688168552,2
37,332.7583704003158,2
38,333.8293449396757,2
39,332.25666996972586,2
40,328.7114406103855,2
41,326.7732325396012,2
42,329.74299592683104,2
43,330.0163571696027,2
44,332.73168520635085,2
45,332.3554792618291,2
46,332.0880552703441,2
47,324.1225493555024,2
48,318.75596539378023,2
49,313.9503337587917,2
50,321.5997509365479,2
51,326.02299736741185,2
52,325.099729260334,2
53,323.431737233275,2
54,313.9595357528917,2
55,315.63123441972493,2
56,307.8071327939464,2
57,305.2089399575111,2
58,305.7369532071156,2
59,304.7896662445048,2
60,306.2076384104451,2
61,314.2584420827219,2
62,316.59857439719025,2
63,310.21542854735196,2
64,305.36129481471846,2
65,298.0123875903946,2
66,297.22516749967207,2
67,291.976755597284,2
68,297.2104218930943,2
69,314.0902137698825,2
70,308.8496220850281,2
71,310.7321880540138,2
72,308.7526547321318,2
73,308.3355969319386,2
74,309.59921202590846,2
75,304.13589478157616,2
76,301.8111109350331,2
77,303.8246834063784,2
78,304.97465619792825,2
79,302.5698297368865,2
80,297.5615941690022,2
81,310.0156696329927,2
82,315.10288960024934,2
83,320.67242181877685,2
84,320.0680055487222,2
85,316.66330594925495,2
86,314.4118009217431,2
87,307.5444822092312,2
88,316.82263737912166,2
89,316.46389995026937,2
90,324.1307702201101,2
91,322.06589269337667,2
92,324.74656961371505,2
93,326.02255869248455,2
94,318.55159524749644,2
95,328.55329488131827,2
96,326.6082263575567,2
97,320.6028650021253,2
98,324.5039068901124,2
99,324.72119214797334,2
100,326.8665341642977,2
101,327.6033301757807,2
102,316.278697382246,2
103,311.8440025755464,2
104,307.2491534970406,2
105,312.79508824934436,2
106,313.3100952649827,2
107,316.3993632151373,2
108,314.8669608954389,2
109,318.2227356789914,2
110,317.65049143500715,2
111,316.6924054803008,2
112,317.9971820169162,2
113,318.8064509763969,2
114,333.2762696061268,2
115,328.6452709954342,2
116,320.6161471909161,2
117,322.6715618240327,2
118,318.82704289456404,2
119,307.02775271008505,2
120,301.4349038101545,2
121,314.3220894551939,2
122,309.7141152435824,2
123,300.1835931549945,2
124,312.6204631696453,2
125,306.78802126123657,2
126,323.5394450809557,2
127,321.71977161914305,2
128,331.7237287600484,2
129,330.52917989585563,2
130,333.1740331301629,2
131,332.59518805720626,2
132,331.43347144470636,2
133,332.9299897994987,2
134,335.7621593444516,2
135,336.79089244326116,2
136,337.2352163169126,2
137,333.31319622502747,2
138,332.9389548896875,2
139,341.9757704057617,2
140,337.78103152831176,2
141,339.3885403030375,2
142,346.21989427345824,2
143,348.99112427394306,2
144,354.2584203331584,2
145,348.00639250827953,2
146,349.5441439622475,2
147,347.93883215618564,2
148,346.57308019643386,2
149,354.9240391775718,2
150,353.58597420058123,2
151,355.2595590292091,2
152,345.3597953167174,2
153,355.1615702511179,2
154,360.0198607344934,2
155,359.62829803399893,2
156,357.70185608395775,2
157,360.9558522003079,2
158,367.5323489771693,2
159,377.245001293249,2
160,381.7196837557493,2
161,381.8695799344412,2
162,387.216198050685,2
163,391.35179910630785,2
164,391.44409824164734,2
165,395.36761437460916,2
166,399.14567570284504,2
167,398.4003484594697,2
168,395.1195754869141,2
169,398.3746060160389,2
170,392.3040601014203,2
171,385.14120444069965,2
172,386.64522927154115,2
173,389.80798964803574,2
174,391.2305605413848,2
175,393.25818753763883,2
176,381.3195323588689,2
177,384.42558285123147,2
178,392.49005594096457,2
179,396.94396738568963,2
180,401.17639342233247,2
181,402.10280624578746,2
182,403.232573212727,2
183,401.99985508532006,2
184,403.76709776428135,2
185,397.3997730915996,2
186,405.3884573721675,2
187,400.33839721332544,2
188,404.715322342896,2
189,411.7850348967229,2
190,416.0532911824803,2
191,428.6536671216619,2
192,416.759933758817,2
193,413.6691825355995,2
194,420.5558867447108,2
195,412.96288665299477,2
196,408.008795494854,2
197,410.5194361510695,2
198,402.10173522352005,2
199,402.0151964740651,2
200,404.2102503174334,2
201,404.57875748236006,2
202,405.45651534385553,2
203,401.0680114681181,2
204,401.79201367791876,2
205,399.18464352817426,2
206,397.3189998875331,2
207,401.637062809447,2
208,393.9473680579587,2
209,380.4804460837073,2
210,384.48612871527996,2
211,385.3523358516286,2
212,392.574259124324,2
213,387.9269864208804,2
214,387.09869511961296,2
215,387.34836844599977,2
216,383.72990889053125,2
217,378.487117134181,2
218,382.8141521861473,2
219,374.7967405058108,2
220,368.76920731119657,2
221,367.91276747041485,2
222,373.02914340399366,2
223,369.8692511043677,2
224,366.05744996880196,2
225,364.89582549902434,2
226,366.84757581565367,2
227,364.8147988541425,2
228,370.73901437281285,2
229,376.88122180669285,2
230,375.957720885736,2
231,386.7671492533127,2
232,386.8914635919313,2
233,392.6847357559183,2
234,394.2452669541809,2
235,395.6850435990663,2
236,386.39382018900193,2
237,379.8381105626149,2
238,377.9776858176964,2
239,384.0118832237845,2
240,385.72623778715496,2
241,383.8670567421702,2
242,387.11130623182953,2
243,392.83300399680985,2
244,392.55237454376504,2
245,393.4945989388783,2
246,393.6882086731498,2
247,393.0450756789588,2
248,388.33746052263285,2
249,383.26283024349317,2
250,386.47440668753416,2
251,392.32205789356107,2
252,390.3979684221017,2
253,388.36343788489523,2
254,377.7706036475014,2
255,366.36729363555037,2
256,373.94921394910335,2
257,369.7366810994719,2
258,352.9161570981282,2
259,366.55862564903526,2
260,363.30742739714293,2
261,354.4438306198654,2
262,355.0036995756637,2
263,359.4520773458588,2
264,363.17410900452734,2
265,368.15783887249836,2
266,362.58137021967724,2
267,370.03633799999136,2
268,377.8130805926439,2
269,385.8142700307594,2
270,387.0098965287096,2
271,384.704244658616,2
272,381.9288055524928,2
273,372.8848911685748,2
274,369.69875551127814,2
275,356.0899285552677,2
276,346.57895277863537,2
277,348.03806369750987,2
278,346.66360993518214,2
279,347.87268074492965,2
280,351.9069691542401,2
281,354.0958129480279,2
282,355.76758876418916,2
283,355.2659098610516,2
284,351.01543709240116,2
285,344.0352709807162,2
286,341.2273982466274,2
287,340.93783972360364,2
288,341.3366901925728,2
289,346.5135177099162,2
290,345.679436139678,2
291,348.83964935053285,2
292,340.7305370049385,2
293,342.318711605167,2
294,343.4872718663582,2
295,351.1016763971083,2
296,349.7068486005277,2
297,336.17438990782716,2
298,334.67007835274535,2
299,338.85554376623804,2
300,332.357599860599,2
301,333.8649734730603,2
302,327.150421224041,2
303,337.63114594591383,2
304,335.3820075037521,2
305,328.32443587549216,2
306,325.60749682094877,2
307,327.2054126615003,2
